x_nm,y_nm,phi_V
0.000000,0.000000,2.10171451e-01
0.000000,1.250000,2.10157726e-01
0.000000,2.500000,2.10130276e-01
0.000000,3.750000,2.10132611e-01
0.000000,5.000000,2.10252326e-01
0.000000,6.250000,2.10658102e-01
0.000000,7.500000,2.11695461e-01
0.000000,8.750000,2.14138117e-01
0.000000,10.000000,2.19903271e-01
0.000000,11.250000,2.34019629e-01
0.000000,12.500000,2.74809321e-01
0.000000,13.750000,3.43977717e-01
0.000000,15.000000,3.63671616e-01
0.000000,16.250000,3.43977717e-01
0.000000,17.500000,2.74809321e-01
0.000000,18.750000,2.34019629e-01
0.000000,20.000000,2.19903271e-01
0.000000,21.250000,2.14138117e-01
0.000000,22.500000,2.11695461e-01
0.000000,23.750000,2.10658102e-01
0.000000,25.000000,2.10252326e-01
0.000000,26.250000,2.10132611e-01
0.000000,27.500000,2.10130276e-01
0.000000,28.750000,2.10157726e-01
0.000000,30.000000,2.10171451e-01
1.250000,0.000000,2.10300010e-01
1.250000,1.250000,2.10279209e-01
1.250000,2.500000,2.10231483e-01
1.250000,3.750000,2.10205656e-01
1.250000,5.000000,2.10292259e-01
1.250000,6.250000,2.10657802e-01
1.250000,7.500000,2.11634419e-01
1.250000,8.750000,2.13955287e-01
1.250000,10.000000,2.19482310e-01
1.250000,11.250000,2.33061284e-01
1.250000,12.500000,2.75737087e-01
1.250000,13.750000,3.53554363e-01
1.250000,15.000000,3.70955767e-01
1.250000,16.250000,3.53554363e-01
1.250000,17.500000,2.75737087e-01
1.250000,18.750000,2.33061284e-01
1.250000,20.000000,2.19482310e-01
1.250000,21.250000,2.13955287e-01
1.250000,22.500000,2.11634419e-01
1.250000,23.750000,2.10657802e-01
1.250000,25.000000,2.10292259e-01
1.250000,26.250000,2.10205656e-01
1.250000,27.500000,2.10231483e-01
1.250000,28.750000,2.10279209e-01
1.250000,30.000000,2.10300010e-01
2.500000,0.000000,2.10778135e-01
2.500000,1.250000,2.10726147e-01
2.500000,2.500000,2.10600442e-01
2.500000,3.750000,2.10467331e-01
2.500000,5.000000,2.10437688e-01
2.500000,6.250000,2.10674733e-01
2.500000,7.500000,2.11471823e-01
2.500000,8.750000,2.13454509e-01
2.500000,10.000000,2.18223386e-01
2.500000,11.250000,2.30181748e-01
2.500000,12.500000,2.70915923e-01
2.500000,13.750000,3.48509542e-01
2.500000,15.000000,3.65982815e-01
2.500000,16.250000,3.48509542e-01
2.500000,17.500000,2.70915923e-01
2.500000,18.750000,2.30181748e-01
2.500000,20.000000,2.18223386e-01
2.500000,21.250000,2.13454509e-01
2.500000,22.500000,2.11471823e-01
2.500000,23.750000,2.10674733e-01
2.500000,25.000000,2.10437688e-01
2.500000,26.250000,2.10467331e-01
2.500000,27.500000,2.10600442e-01
2.500000,28.750000,2.10726147e-01
2.500000,30.000000,2.10778135e-01
3.750000,0.000000,2.11962058e-01
3.750000,1.250000,2.11833822e-01
3.750000,2.500000,2.11476582e-01
3.750000,3.750000,2.11066440e-01
3.750000,5.000000,2.10767587e-01
3.750000,6.250000,2.10757778e-01
3.750000,7.500000,2.11265542e-01
3.750000,8.750000,2.12748911e-01
3.750000,10.000000,2.16357526e-01
3.750000,11.250000,2.25275006e-01
3.750000,12.500000,2.54799227e-01
3.750000,13.750000,3.14326668e-01
3.750000,15.000000,3.33537380e-01
3.750000,16.250000,3.14326668e-01
3.750000,17.500000,2.54799227e-01
3.750000,18.750000,2.25275006e-01
3.750000,20.000000,2.16357526e-01
3.750000,21.250000,2.12748911e-01
3.750000,22.500000,2.11265542e-01
3.750000,23.750000,2.10757778e-01
3.750000,25.000000,2.10767587e-01
3.750000,26.250000,2.11066440e-01
3.750000,27.500000,2.11476582e-01
3.750000,28.750000,2.11833822e-01
3.750000,30.000000,2.11962058e-01
5.000000,0.000000,2.14955518e-01
5.000000,1.250000,2.14477979e-01
5.000000,2.500000,2.13495059e-01
5.000000,3.750000,2.12314513e-01
5.000000,5.000000,2.11412097e-01
5.000000,6.250000,2.10970677e-01
5.000000,7.500000,2.11089490e-01
5.000000,8.750000,2.11996485e-01
5.000000,10.000000,2.14306491e-01
5.000000,11.250000,2.19772487e-01
5.000000,12.500000,2.32160946e-01
5.000000,13.750000,2.50877862e-01
5.000000,15.000000,2.57557234e-01
5.000000,16.250000,2.50877862e-01
5.000000,17.500000,2.32160946e-01
5.000000,18.750000,2.19772487e-01
5.000000,20.000000,2.14306491e-01
5.000000,21.250000,2.11996485e-01
5.000000,22.500000,2.11089490e-01
5.000000,23.750000,2.10970677e-01
