x_nm,y_nm,phi_V
0.000000,0.000000,3.96414302e-01
0.000000,0.468750,3.96969585e-01
0.000000,0.937500,3.98403317e-01
0.000000,1.406250,4.00108397e-01
0.000000,1.875000,4.01340141e-01
0.000000,2.343750,4.01513690e-01
0.000000,2.812500,4.00628782e-01
0.000000,3.281250,3.99247926e-01
0.000000,3.750000,3.98030248e-01
0.000000,4.218750,3.97474912e-01
0.000000,4.687500,3.97769392e-01
0.000000,5.156250,3.98847312e-01
0.000000,5.625000,4.00537278e-01
0.000000,6.093750,4.02632439e-01
0.000000,6.562500,4.04940450e-01
0.000000,7.031250,4.07306365e-01
0.000000,7.500000,4.09618027e-01
0.000000,7.968750,4.11801826e-01
0.000000,8.437500,4.13814689e-01
0.000000,8.906250,4.15635716e-01
0.000000,9.375000,4.17259072e-01
0.000000,9.843750,4.18688533e-01
0.000000,10.312500,4.19933568e-01
0.000000,10.781250,4.21006653e-01
0.000000,11.250000,4.21921483e-01
0.000000,11.718750,4.22691809e-01
0.000000,12.187500,4.23330689e-01
0.000000,12.656250,4.23850014e-01
0.000000,13.125000,4.24260193e-01
0.000000,13.593750,4.24569954e-01
0.000000,14.062500,4.24786205e-01
0.000000,14.531250,4.24913941e-01
0.000000,15.000000,4.24956183e-01
0.000000,15.468750,4.24913941e-01
0.000000,15.937500,4.24786205e-01
0.000000,16.406250,4.24569954e-01
0.000000,16.875000,4.24260193e-01
0.000000,17.343750,4.23850014e-01
0.000000,17.812500,4.23330689e-01
0.000000,18.281250,4.22691809e-01
0.000000,18.750000,4.21921483e-01
0.000000,19.218750,4.21006653e-01
0.000000,19.687500,4.19933568e-01
0.000000,20.156250,4.18688533e-01
0.000000,20.625000,4.17259072e-01
0.000000,21.093750,4.15635716e-01
0.000000,21.562500,4.13814689e-01
0.000000,22.031250,4.11801826e-01
0.000000,22.500000,4.09618027e-01
0.000000,22.968750,4.07306365e-01
0.000000,23.437500,4.04940450e-01
0.000000,23.906250,4.02632439e-01
0.000000,24.375000,4.00537278e-01
0.000000,24.843750,3.98847312e-01
0.000000,25.312500,3.97769392e-01
0.000000,25.781250,3.97474912e-01
0.000000,26.250000,3.98030248e-01
0.000000,26.718750,3.99247926e-01
0.000000,27.187500,4.00628782e-01
0.000000,27.656250,4.01513690e-01
0.000000,28.125000,4.01340141e-01
0.000000,28.593750,4.00108397e-01
0.000000,29.062500,3.98403317e-01
0.000000,29.531250,3.96969585e-01
0.000000,30.000000,3.96414302e-01
0.468750,0.000000,3.98913835e-01
0.468750,0.468750,3.99665105e-01
0.468750,0.937500,4.01752936e-01
0.468750,1.406250,4.04354115e-01
0.468750,1.875000,4.06107630e-01
0.468750,2.343750,4.06171242e-01
0.468750,2.812500,4.04534223e-01
0.468750,3.281250,4.01972619e-01
0.468750,3.750000,3.99735739e-01
0.468750,4.218750,3.98501169e-01
0.468750,4.687500,3.98338782e-01
0.468750,5.156250,3.99141121e-01
0.468750,5.625000,4.00676107e-01
0.468750,6.093750,4.02690482e-01
0.468750,6.562500,4.04959639e-01
0.468750,7.031250,4.07308388e-01
0.468750,7.500000,4.09613026e-01
0.468750,7.968750,4.11793919e-01
0.468750,8.437500,4.13805102e-01
0.468750,8.906250,4.15624446e-01
0.468750,9.375000,4.17245694e-01
0.468750,9.843750,4.18672570e-01
0.468750,10.312500,4.19914638e-01
0.468750,10.781250,4.20984518e-01
0.468750,11.250000,4.21896053e-01
0.468750,11.718750,4.22663130e-01
0.468750,12.187500,4.23298932e-01
0.468750,12.656250,4.23815457e-01
0.468750,13.125000,4.24223209e-01
0.468750,13.593750,4.24530995e-01
0.468750,14.062500,4.24745787e-01
0.468750,14.531250,4.24872629e-01
0.468750,15.000000,4.24914570e-01
0.468750,15.468750,4.24872629e-01
0.468750,15.937500,4.24745787e-01
0.468750,16.406250,4.24530995e-01
0.468750,16.875000,4.24223209e-01
0.468750,17.343750,4.23815457e-01
0.468750,17.812500,4.23298932e-01
0.468750,18.281250,4.22663130e-01
0.468750,18.750000,4.21896053e-01
0.468750,19.218750,4.20984518e-01
0.468750,19.687500,4.19914638e-01
0.468750,20.156250,4.18672570e-01
0.468750,20.625000,4.17245694e-01
0.468750,21.093750,4.15624446e-01
0.468750,21.562500,4.13805102e-01
0.468750,22.031250,4.11793919e-01
0.468750,22.500000,4.09613026e-01
0.468750,22.968750,4.07308388e-01
0.468750,23.437500,4.04959639e-01
0.468750,23.906250,4.02690482e-01
0.468750,24.375000,4.00676107e-01
0.468750,24.843750,3.99141121e-01
0.468750,25.312500,3.98338782e-01
0.468750,25.781250,3.98501169e-01
0.468750,26.250000,3.99735739e-01
0.468750,26.718750,4.01972619e-01
0.468750,27.187500,4.04534223e-01
0.468750,27.656250,4.06171242e-01
0.468750,28.125000,4.06107630e-01
0.468750,28.593750,4.04354115e-01
0.468750,29.062500,4.01752936e-01
0.468750,29.531250,3.99665105e-01
0.468750,30.000000,3.98913835e-01
0.937500,0.000000,4.06802682e-01
0.937500,0.468750,4.08297393e-01
0.937500,0.937500,4.12329472e-01
0.937500,1.406250,4.18649228e-01
0.937500,1.875000,4.24604337e-01
0.937500,2.343750,4.24521700e-01
0.937500,2.812500,4.18039984e-01
0.937500,3.281250,4.10745230e-01
0.937500,3.750000,4.05367440e-01
0.937500,4.218750,4.01774207e-01
0.937500,4.687500,4.00130236e-01
